id,name,author,isbn,created
378,full-range,Alicia Kembry,731388219-X,1970-11-01T21:56:13Z
379,Total,Ethelred Vedmore,746760961-2,2014-03-11T07:17:05Z
380,methodology,Blake Ebenezer,305827861-6,2019-03-13T12:35:25Z
381,intermediate,Cora Deverick,826466816-X,1999-01-17T12:36:58Z
382,global,Kariotta McNeely,698900135-6,1982-11-12T09:04:47Z
383,Cross-group,Muhammad Pittham,474588214-9,1970-06-04T21:27:28Z
384,Reduced,Dana Knell,714015810-X,1994-06-14T02:58:50Z
385,scalable,Jorie Wohler,209500952-5,1983-03-22T19:47:23Z
386,Decentralized,Griz Gook,094830064-7,2005-03-29T02:40:37Z
387,Distributed,Ruthanne Boards,952643832-9,1970-02-27T15:07:54Z
388,even-keeled,Tamra Whissell,253395523-X,1995-04-19T02:36:33Z
389,approach,Chrissy Lawrey,930256206-9,1971-07-09T07:39:32Z
390,time-frame,Haskell Balston,652863946-9,1974-01-12T12:36:00Z
391,bi-directional,Andi Habben,196816360-3,1978-01-03T10:53:54Z
392,workforce,Allx Dengate,404652807-9,1984-04-16T15:16:56Z
393,Mandatory,Kelsi Sudell,965775216-7,1997-02-03T17:06:42Z
394,neutral,Rochelle De Ortega,325865273-2,1975-10-11T20:26:03Z
395,maximized,Marla Polfer,634317838-4,1978-08-03T23:16:53Z
396,human-resource,Brana Blinder,963913283-7,2002-05-21T20:17:53Z
397,Cloned,Cristi Midlane,016648506-3,1995-09-20T05:38:37Z
398,contingency,Shaylah Seery,557278328-5,1974-09-19T02:37:00Z
399,synergy,Chantalle Sullly,248620028-2,1987-07-15T16:52:13Z
400,secured line,Rivi Hurles,331028694-0,1992-03-20T10:14:01Z
401,user-facing,Tomlin Alaway,277158191-4,1977-09-24T07:06:47Z
402,paradigm,Vergil McLese,573816419-9,1986-01-16T05:16:19Z
403,Configurable,Laina Fairbrass,066593845-4,2012-03-07T18:35:51Z
404,instruction set,Dov McCromley,255668311-2,2016-01-10T05:31:51Z
405,leading edge,Hillier Ingry,255109237-X,1998-10-12T02:57:32Z
406,service-desk,Elga Angrick,656724660-X,1972-03-19T20:54:06Z
407,disintermediate,Dulci Thyer,672874984-5,2001-10-16T11:20:27Z
408,interactive,Bridgette Krystof,110313941-X,1970-04-23T11:08:33Z
409,approach,Shawna Ashness,991961559-5,1987-11-26T14:17:59Z
410,extranet,Celie Kobieriecki,510345926-4,1991-09-26T19:50:11Z
411,Grass-roots,Siouxie Dobson,468342404-5,1981-03-29T13:47:08Z
412,Sharable,Mel Alliker,914982716-2,2007-08-03T09:42:36Z
413,Persistent,Seana Saby,078330823-X,1970-07-28T19:13:10Z
414,web-enabled,Romona Sprowell,907184306-8,1986-07-01T21:47:35Z
415,Fundamental,Neils Kohneke,081415432-8,1997-07-26T20:07:17Z
416,intranet,Marthe Marten,133388842-2,1983-04-05T15:55:09Z
417,Operative,Bron Chudleigh,984516724-1,1973-12-16T19:44:37Z
418,dynamic,Kimberlee Cutill,562005133-1,1986-03-03T14:38:00Z
419,Organic,Aprilette Copland,557611793-X,1971-06-05T04:37:54Z
420,incremental,Phyllis Gilchrest,744731501-X,2011-12-13T09:20:49Z
421,matrices,Filberte Pickance,774451672-9,2004-08-12T08:48:47Z
422,Robust,Edgar Gladman,682159191-1,2009-12-02T17:34:11Z
423,client-server,Ryan Cruz,900517453-6,1993-05-18T05:24:54Z
424,Advanced,Claybourne Foston,811204248-9,1972-05-12T06:18:15Z
425,Operative,Latrina Hastie,387545751-X,1999-12-31T23:59:21Z
426,Synergized,Niki Spykins,342442670-9,1970-04-04T14:41:00Z
427,cohesive,Nicolette Heaffey,457165998-9,1994-01-09T01:22:08Z
428,uniform,Nolan Saltmarshe,139165684-9,1988-07-02T21:37:53Z
429,discrete,Gilburt McTurley,981189863-4,2008-03-03T20:21:36Z
430,Object-based,Sharleen Cubbinelli,403285212-X,2016-12-09T14:52:45Z
431,De-engineered,Zulema Worts,556998921-8,1989-10-14T10:29:07Z
432,intermediate,Flory Risborough,515135780-8,1997-11-30T05:27:11Z
433,neural-net,Carola Valek,337863379-4,2019-10-24T09:05:50Z
434,Future-proofed,Stephanus Stopford,283226313-5,1991-05-07T03:53:48Z
435,Diverse,Enrica Van Hesteren,864842443-7,1973-03-16T12:28:34Z
436,portal,Aigneis Gellibrand,489856077-6,2000-10-04T00:56:00Z
437,access,Albertina Biever,138992157-3,2019-04-25T06:42:18Z
438,Triple-buffered,Dill Plan,848453189-9,1993-07-22T04:30:51Z
439,bottom-line,Heall Bryson,018677181-9,1980-10-05T13:59:29Z
440,hub,Kaitlynn Gravenell,744392725-8,1975-10-11T18:39:53Z
441,Re-contextualized,Cassie Mion,763810202-9,1988-07-23T07:03:49Z
442,Progressive,Franny Bayns,106034371-1,1974-07-15T02:35:11Z
443,radical,Felice Janota,025561254-0,1973-03-02T09:08:46Z
444,Optional,Ki Olliff,938435864-9,1977-08-18T22:43:51Z
445,Implemented,Drona Ruffell,786867928-X,1989-12-16T19:35:53Z
446,definition,Devon Hackly,112638545-X,1972-08-21T13:16:22Z
447,Graphical User Interface,Dwayne Dalgarnowch,628449147-6,1980-08-15T05:22:41Z
448,regional,Shelly Rayson,355309757-4,1974-08-08T05:17:25Z
449,Business-focused,Elva Obispo,768603533-6,2003-07-08T12:49:57Z
450,Vision-oriented,Tad Hyam,033511365-6,1974-06-30T10:22:36Z
451,Ameliorated,Say Reddihough,538995770-9,2001-12-03T18:02:34Z
452,value-added,Goraud Renzullo,825845465-X,1987-07-17T12:30:17Z
453,alliance,Lisette Paramor,722862315-0,1990-08-18T08:56:31Z
454,mission-critical,Alvy Threadkell,670589085-1,1994-11-25T13:12:51Z
455,core,Lamond Wadge,310901168-9,2010-08-25T11:55:49Z
456,Fully-configurable,Mozes Carding,434118510-1,1996-04-11T11:02:51Z
457,challenge,Brendan Blowen,509770562-9,1987-03-25T23:47:27Z
458,solution,Thomas Gypps,360852718-4,1985-10-06T17:26:45Z
459,eco-centric,Randall Lummasana,719712510-3,2000-05-30T18:12:19Z
460,adapter,Netti Ruffy,023031858-4,2000-02-07T16:33:03Z
461,logistical,Hillel Gauden,156482049-1,2001-07-12T17:37:07Z
462,neutral,Mathias Brouard,102487084-7,1976-09-13T04:13:28Z
463,array,Cacilia Buske,945538096-X,2001-07-25T09:26:00Z
464,Reduced,Rockie Lenard,513530758-3,2015-10-25T11:24:07Z
465,full-range,Ettie Kinworthy,600424786-3,1988-02-06T05:41:10Z
466,dedicated,Cyb Blagbrough,843547505-0,1977-05-24T07:35:44Z
467,Visionary,Joell Mussettini,751735663-1,1984-11-29T06:48:11Z
468,flexibility,Emmalyn Garrold,137352277-1,1995-12-12T11:00:28Z
469,Pre-emptive,Nadya Howieson,323054343-2,1982-10-26T17:54:14Z
470,database,Dalia Rigg,757855227-9,1997-11-04T06:19:09Z
471,tertiary,Ulberto Rowson,466801499-0,1996-10-13T01:48:23Z
472,bi-directional,Gerianne Aldcorne,766435244-4,1996-08-29T18:23:49Z
473,4th generation,Quintus Ceaser,309273764-4,2011-10-11T13:54:49Z
474,Assimilated,Irvine Snowsill,433922918-0,2007-12-23T18:49:25Z
475,bi-directional,Mariam Osgordby,960090445-6,2003-05-02T09:50:49Z
476,challenge,Ignace Soame,146143863-2,1984-07-02T03:33:54Z
477,support,Maxie Tincknell,636417980-0,2015-08-28T16:51:55Z
478,Pre-emptive,Ofelia Oller,106612216-4,1974-11-15T22:01:40Z
479,website,Kerstin Barrat,426645720-0,1982-11-10T16:25:03Z
480,even-keeled,Halsey Gorvette,640166875-X,1983-10-23T06:55:55Z
481,logistical,Frannie Cozins,498148292-2,2009-05-13T19:06:01Z
482,Front-line,Hermie Saich,246802957-7,2002-04-21T16:53:34Z
483,global,Skipton Hallbord,455205503-8,1978-04-21T16:28:40Z
484,context-sensitive,Shelden Favel,605037567-4,1994-12-13T22:51:35Z
485,multi-tasking,Vera De Michetti,040828390-4,1986-02-18T08:47:00Z
486,emulation,Ki Chafney,716584918-1,1997-08-28T20:18:33Z
487,Optional,Mareah Hulburd,452521268-3,1993-07-16T21:16:36Z
488,Implemented,Junia Woolam,383504961-5,2005-07-05T23:52:26Z
489,intermediate,Kali Duferie,476568578-0,2009-10-09T09:16:12Z
490,intangible,Rahel Gilderoy,466492441-0,1982-12-14T22:36:58Z
491,Team-oriented,Geoff Brunsen,409269799-6,2014-08-15T01:43:25Z
492,workforce,Ebenezer Trundell,998362121-5,1998-01-22T14:04:53Z
493,Expanded,Minnie Galey,325809326-1,2007-08-28T08:11:42Z
494,next generation,Kenon Longridge,919211010-X,1972-04-08T17:31:41Z
495,stable,Sofia Scullin,457668587-2,1985-12-18T07:10:35Z
496,logistical,Culver Chidley,361690621-0,1987-08-04T00:56:05Z
497,secondary,Gabbi Sparkwill,318545372-7,2005-12-13T18:00:19Z
498,object-oriented,Diana Norley,166310620-7,1998-08-08T22:49:58Z
499,website,Ladonna Stodhart,426944392-8,1996-10-10T10:29:45Z
500,Face to face,Wallis Maude,920053094-X,1997-09-10T03:08:01Z
501,actuating,Jacob Pengelly,993359305-6,2012-04-03T04:12:39Z
502,hybrid,Darrell Lanbertoni,725923483-0,1978-02-06T08:49:31Z
503,migration,Mike Spridgen,550552483-4,2017-12-24T13:21:37Z
504,Networked,Andie Gasker,903054079-6,2020-02-06T15:42:27Z
505,Fundamental,Raffaello Bliben,267506915-9,2010-01-31T22:50:43Z
506,hub,Cris Lorek,513312051-6,2003-03-27T14:45:26Z
507,capability,Fiorenze Francomb,517964192-6,1977-03-22T00:28:38Z
508,Enterprise-wide,Heidi D'Ruel,459111446-5,1997-08-11T19:54:55Z
509,contingency,Starla Hiddy,789339704-7,2013-06-15T10:46:47Z
510,Team-oriented,Lorrie Furmenger,806768705-6,2020-04-23T21:30:48Z
511,Customizable,Link Balk,161767377-3,2014-09-05T15:35:08Z
512,interactive,Sheree Moorey,115791673-2,2011-03-25T02:34:50Z
513,dedicated,Chrissie Huyge,572762020-1,1998-12-31T16:34:32Z
514,algorithm,Christiano Carthew,326716715-9,2016-01-29T08:46:59Z
515,logistical,Rhianna Rosin,147687668-1,1980-09-16T15:33:44Z
516,implementation,Loretta Tenby,553733852-1,1981-07-03T00:14:25Z
517,Ergonomic,Linet Geroldini,418557099-6,1998-04-03T21:30:21Z
518,capability,Peri Gearty,897299221-6,1982-11-03T04:22:00Z
519,Advanced,Darryl Karlik,447661099-4,2005-08-20T00:35:36Z
520,Diverse,Doralynne Stacy,040816315-1,1992-06-02T21:09:25Z
521,Open-source,Cristiano Ollie,196679775-3,1981-12-11T20:26:04Z
522,exuding,Lorette Zylbermann,692654807-2,1990-02-06T22:17:43Z
523,secondary,Corry Dollar,557624884-8,2003-03-16T16:24:30Z
524,Integrated,Kamila Rowling,636736129-4,2018-06-27T06:49:55Z
525,next generation,Errol Groll,966273036-2,2011-07-07T18:45:44Z
526,hardware,Norbie Ebbrell,848457891-7,1989-07-04T10:24:26Z
527,Universal,Leland Casford,928587127-5,2011-03-25T23:23:25Z
528,human-resource,Raeann Cammiemile,833434232-2,2019-03-13T22:35:23Z
529,Persistent,Magdaia Gronno,334258045-3,2016-01-03T21:40:02Z
530,responsive,Madonna Ivetts,173563982-6,1970-07-10T01:24:37Z
531,didactic,Georgia Anselm,044922684-0,2014-12-24T11:29:36Z
532,function,Alyda Mustill,740324796-5,2006-07-09T17:32:35Z
533,dedicated,Cindee Klosges,181332627-4,1974-05-01T02:15:29Z
534,benchmark,Shelia MacAvddy,002687128-9,1974-02-27T17:41:00Z
535,Streamlined,Ame Blampy,084471151-9,1985-05-09T07:52:49Z
536,infrastructure,Morse Escalera,222860577-8,2019-09-09T05:14:22Z
537,Team-oriented,Candi Downing,873217894-8,2014-10-11T03:49:51Z
538,coherent,Chucho Wheatland,448957290-5,2021-01-26T15:15:11Z
539,contingency,Elli Hamman,774127086-9,1995-06-09T02:38:00Z
540,Universal,Annecorinne Pillans,683568659-6,2011-01-11T23:47:55Z
541,Persevering,Vinny Piscopiello,153178420-8,1997-10-05T05:23:08Z
542,info-mediaries,Wald Tearle,338984369-8,1994-07-06T22:18:27Z
543,Customizable,Halsey Robottom,275507431-0,2020-01-23T16:58:05Z
544,mobile,Ellene Willmot,153567650-7,1997-10-13T05:33:17Z
545,Managed,Davide Varnam,641892814-8,2015-03-31T04:08:19Z
546,Decentralized,Les Leale,971650909-X,2018-06-14T19:45:51Z
547,encompassing,Kerry Fortey,616270518-8,2013-08-15T18:37:53Z
548,secondary,Raimondo Thatcher,630484369-0,1983-11-18T18:40:41Z
549,homogeneous,Albert Barsby,595363367-X,2000-06-06T06:16:14Z
550,Diverse,Cosmo Sisey,600236839-6,2012-05-20T20:21:41Z
551,Re-engineered,Scot Dykas,261279488-3,1978-11-08T16:39:34Z
552,Synergistic,Matilde Duesbury,271082314-4,2019-08-14T07:35:41Z
553,firmware,Beverly Hassey,811019604-7,1986-11-13T01:02:11Z
554,initiative,Moss Hastings,273912570-4,1998-05-19T09:30:36Z
555,pricing structure,Lia Pike,533573333-0,1977-11-24T00:54:49Z
556,instruction set,Westleigh Woodstock,791259771-9,2002-06-01T10:44:39Z
557,secured line,Glenna Piaggia,830310083-1,1981-10-21T21:46:21Z
558,policy,Raye Barrett,778484099-3,1985-06-16T21:47:44Z
559,high-level,Ameline Crackel,400679261-1,1990-06-08T18:44:04Z
560,Cloned,Karen Nattrass,467003854-0,2015-05-30T00:33:21Z
561,client-server,Teddy Bollom,710657098-2,1990-12-06T15:32:43Z
562,Synchronised,Valene Mockler,417433987-2,1999-07-31T23:31:36Z
563,toolset,Suellen Winstone,393070925-2,1982-02-13T15:15:38Z
564,fresh-thinking,Shurlocke Walkowski,941967028-7,1995-05-13T10:51:00Z
565,superstructure,Tildy Orme,098426926-6,1979-02-27T17:56:33Z
566,value-added,Devy Gennings,837946138-X,2015-01-14T14:25:50Z
567,ability,Forester Graal,138751625-6,1987-02-02T13:37:35Z
568,Visionary,Julietta Cluitt,689951940-2,1996-07-11T10:49:44Z
569,attitude-oriented,Courtnay Peach,074550882-0,2016-04-17T20:09:15Z
570,Virtual,Silvie Cathie,033173582-2,1974-10-26T20:26:45Z
571,Fundamental,Keir Winfred,265582676-0,1990-08-25T19:14:28Z
572,open architecture,Delilah Beecraft,301190904-0,2018-05-03T18:40:44Z
573,next generation,Lemuel Blasik,139012754-0,1983-03-16T13:51:38Z
574,3rd generation,Deni Rosetti,274600419-4,1970-02-12T04:29:34Z
575,zero administration,Mark Normington,979894360-0,1996-06-12T06:50:59Z
576,upward-trending,Michelle Lewcock,052077557-0,2005-07-18T08:13:31Z
577,client-server,Babbie Luty,892463759-2,2000-08-09T04:12:46Z
578,knowledge base,Eulalie Medlen,960049131-3,2009-12-25T06:45:21Z
579,asymmetric,Grayce Stanyland,419201841-1,1970-08-27T01:38:35Z
580,next generation,Ardelle Levington,345539027-7,1983-08-27T04:19:29Z
581,projection,Salomi Woodcraft,340084345-8,1976-08-21T01:28:45Z
582,Polarised,Robinett Bennetts,158623051-4,1986-11-13T05:12:45Z
583,Polarised,Olivie Burgon,628855463-4,1999-12-18T09:21:20Z
584,implementation,Ardeen Hynde,707525867-2,1998-01-13T22:59:44Z
585,Ameliorated,Mikaela Thyng,149459400-5,1983-04-30T14:50:13Z
586,Enhanced,Jacobo de Guerre,826055428-3,2016-07-27T22:45:31Z
587,frame,Maje Vakhrushev,657461278-0,1990-10-24T13:39:51Z
588,value-added,Yulma Weekes,030190450-2,1976-01-10T00:01:06Z
589,maximized,Julie Colwill,210224437-7,2008-09-19T15:09:07Z
590,tangible,Kathleen Arnot,214105743-4,1999-02-19T01:53:50Z
591,demand-driven,Grant Burle,701221522-4,1980-11-05T10:44:58Z
592,Future-proofed,Nara Graben,728036361-X,2013-01-20T23:06:47Z
593,radical,Even Blachford,714414135-X,1984-12-02T17:08:14Z
594,function,Jerri Southgate,812987877-1,2004-01-01T15:40:49Z
595,standardization,Rayna Geldeford,981146443-X,1981-07-27T09:38:32Z
596,stable,Nomi Tourville,479054809-0,1995-03-06T11:05:01Z
597,User-centric,Adeline Godlee,089242155-X,2018-08-15T00:57:37Z
598,conglomeration,Reena Richford,809676701-1,2018-01-05T13:26:26Z
599,Reactive,Bryce MacCarroll,513473535-2,2020-10-23T04:56:20Z
600,implementation,Duff Smethurst,131126226-1,2013-05-16T02:48:46Z
601,optimizing,Dora Showler,017470586-7,2018-06-14T16:55:18Z
602,complexity,Barrie Murray,835435799-6,2020-11-30T04:21:34Z
603,project,Karlyn Cossell,707246437-9,2008-09-19T02:46:44Z
604,Cross-group,Anna Urlich,528819331-2,2015-09-17T01:45:36Z
605,encryption,Vladamir Dummer,616761001-0,2019-05-17T02:53:13Z
606,array,Galen Blakeney,263074349-7,1971-12-19T11:34:07Z
607,framework,Tara Attawell,900281198-5,2003-09-29T11:03:34Z
608,Streamlined,Travis Maxstead,795910401-8,1998-12-19T16:35:32Z
609,Automated,Clemens Stopps,918635016-1,2006-07-21T13:45:27Z
610,encoding,Cassaundra Sarsons,588428719-4,2019-01-28T11:51:50Z
611,Decentralized,Helaina Brecknall,467375311-9,2014-05-06T03:17:08Z
612,Fundamental,Caron Mathiasen,829188326-2,2009-09-22T00:09:03Z
613,forecast,Ulrike O'Hoolahan,749724203-2,2004-08-08T04:23:05Z
614,Pre-emptive,Mariel Dakhno,217128801-9,1977-04-21T10:44:44Z
615,fault-tolerant,Boniface Peeters,583284647-8,2018-08-15T01:23:32Z
616,holistic,Jacqui Gannaway,113703787-3,1977-06-04T02:43:11Z
617,Managed,Marla Robbeke,362664174-0,2011-12-10T05:01:59Z
618,Optional,Harman Dreier,555117567-7,2003-01-16T17:10:24Z
619,complexity,Ramonda Marlon,056362766-2,1993-05-12T16:44:18Z
620,Fundamental,Joline McKimmie,558091983-2,2000-11-17T08:19:57Z
621,access,Borden Jillings,478046058-1,1975-10-11T02:37:15Z
622,Re-engineered,Kit Robillart,861684845-2,1981-05-08T21:53:50Z
623,middleware,Marcille Gillet,621423666-3,1972-11-03T20:15:39Z
624,transitional,Blanca Godsafe,496405142-0,1993-07-03T00:38:19Z
625,toolset,Yvonne Gauld,124732847-3,1970-06-14T13:54:40Z
626,Innovative,Matteo Doole,310534423-3,2018-06-21T12:28:23Z
627,Re-engineered,Kailey Allabush,739252346-5,2013-03-15T18:57:22Z
628,directional,Samaria Krink,710159776-9,2010-12-17T03:08:51Z
629,systematic,Reyna Wetherill,292074022-9,2007-07-24T13:42:22Z
630,maximized,Tova Pero,428620856-7,1970-09-29T09:06:08Z
631,flexibility,Gabriellia Peetermann,970185051-3,1971-09-15T05:23:47Z
632,matrices,Lyndsay McKinnon,928475652-9,1982-02-07T20:58:25Z
633,uniform,Doroteya Coleman,164240674-0,1978-02-26T12:09:57Z
634,leverage,Tabor Sedgebeer,800755683-4,2011-12-30T08:56:09Z
635,structure,Dag Dumingos,994265207-8,1983-06-25T19:03:17Z
636,zero tolerance,Keane Strathman,197323899-3,1989-10-12T23:50:46Z
637,paradigm,Ferd Archer,934474262-6,1997-09-22T12:52:49Z
638,structure,Cooper Keeves,581329730-8,1996-11-05T09:13:39Z
639,real-time,Guntar Manilow,566425203-0,1983-08-27T15:45:59Z
640,systemic,Guy Reven,047376480-6,1979-07-14T12:03:07Z
641,Quality-focused,Sheff Butterwick,569791762-7,2001-12-06T18:04:46Z
642,24/7,Yancey Neilus,424740604-3,1984-11-14T02:37:23Z
643,holistic,Baryram Durward,347005806-7,2000-03-02T01:07:04Z
644,policy,Lyon Annice,082823305-5,1994-10-13T04:20:18Z
645,strategy,Caressa Goldhill,444567365-X,1972-01-26T15:16:18Z
646,structure,Kandy Alans,958204434-9,1970-05-17T23:07:05Z
647,Compatible,Robbie Slyman,554742435-8,1996-09-30T02:29:47Z
648,pricing structure,Nat Gotter,658115776-7,1985-12-21T23:59:04Z
649,stable,Caddric Glidden,962127011-1,2009-02-13T11:31:40Z
650,Business-focused,Kimbell Graal,075093379-8,1989-01-23T13:19:32Z
651,Digitized,Mickie McCulley,416377088-7,2009-02-26T00:05:15Z
652,methodology,Mirabel Robbeke,036597968-6,1991-02-23T13:13:22Z
653,algorithm,Vere Silvermann,010450870-1,2021-03-02T11:57:51Z
654,Vision-oriented,Sven Piris,443970755-6,1980-08-09T08:33:34Z
655,protocol,Vera Krolik,158949024-X,1997-11-10T06:34:33Z
656,zero defect,Mike Ferraron,787000363-8,2002-09-27T07:45:21Z
657,parallelism,Renado Maxfield,901607838-X,1981-04-11T06:31:33Z
658,flexibility,Elane Commuzzo,088866422-2,1975-11-13T03:06:30Z
659,system engine,Vally Scawen,060877092-2,1991-01-03T17:29:17Z
660,intermediate,Margette Oultram,358554616-1,2002-10-01T14:41:03Z
661,artificial intelligence,Ronald Date,964213360-1,1992-02-18T03:25:49Z
662,De-engineered,Maurice Formigli,982220634-8,1986-04-28T08:07:06Z
663,Focused,Wini Goulden,622755832-X,2013-02-06T09:50:54Z
664,throughput,Vernen Sifleet,387909961-8,2013-03-08T18:45:16Z
665,conglomeration,Brockie Straun,799400010-X,1987-10-31T01:31:10Z
666,success,Kain Fogg,229266626-X,1985-04-20T06:23:27Z
667,Virtual,Broddie Armsden,929589303-4,1994-03-26T07:02:17Z
668,Profit-focused,Shurlocke Jelphs,921460867-9,2020-09-30T00:19:02Z
669,composite,Evita Laurens,888867615-5,1995-10-15T05:00:47Z
670,neural-net,Guthrie Mahody,989157946-8,1987-08-05T15:18:23Z
671,Public-key,Nanci Diego,873600433-2,2010-05-05T23:47:42Z
672,framework,Karole Patington,727424113-3,1984-04-30T03:00:57Z
673,Configurable,Connor Antalffy,732612243-1,2001-07-14T13:42:58Z
674,empowering,Erda L'oiseau,934395440-9,2013-07-05T02:37:44Z
675,forecast,Lyndel Sawford,419425178-4,1970-12-18T08:43:34Z
676,disintermediate,Fabe Cranefield,115126307-9,1987-02-03T20:48:50Z
677,regional,Rik Mealham,114511474-1,2007-11-07T19:13:03Z
678,application,Karlotta Bliben,231521503-X,1970-10-01T06:47:26Z
679,framework,Con Pennycuick,911354572-8,2000-05-05T15:16:46Z
680,Graphical User Interface,Bobbi Krzysztofiak,781531066-4,1980-06-30T06:40:26Z
681,local,Nickie Dorton,568857994-3,1995-06-20T22:52:47Z
682,Adaptive,Celine Stourton,166686923-6,1972-11-21T18:20:01Z
683,4th generation,Thorn Goldring,478001158-2,2009-06-10T15:44:10Z
684,solution,Danny Steuhlmeyer,609870110-5,1983-08-06T04:53:25Z
685,middleware,Trescha Wight,840537551-1,1992-01-19T02:21:24Z
686,web-enabled,Georgie Harrowing,915824830-7,2018-11-10T00:04:44Z
687,exuding,Tory Blaber,558968270-3,1989-01-19T07:32:09Z
688,eco-centric,Stephine Tankard,711228722-7,2006-06-23T04:40:11Z
689,Compatible,Laurie Skin,445287260-3,1984-10-06T08:23:21Z
690,motivating,Vinnie Grima,151929587-1,1991-05-10T23:31:22Z
691,scalable,Seana Akister,196772238-2,2011-07-01T18:20:07Z
692,Automated,Nelle Garrod,137344657-9,1993-10-15T10:31:46Z
693,Multi-lateral,Ferrel Goodsall,145786853-9,2006-06-25T11:56:38Z
694,stable,Etta McGrey,989568038-4,2008-07-08T22:35:18Z
695,Seamless,Piotr Huck,937894379-9,2004-02-22T06:43:38Z
696,monitoring,Paolo Challener,493055674-0,2009-11-07T16:28:24Z
697,local area network,Rici Palke,509452118-7,2002-05-17T14:20:32Z
698,Graphical User Interface,Genevieve Hugonneau,974376018-0,2003-07-06T07:49:59Z
699,Digitized,Emmalyn Layhe,257176100-5,2006-11-16T22:03:07Z
700,Total,Marcelline Spanton,414501729-3,2010-10-23T07:01:19Z
701,Centralized,Jori Buglass,529882677-6,1998-03-11T07:47:37Z
702,Face to face,Gae Neath,801809027-0,1972-10-30T17:33:58Z
703,tertiary,Johnette Seckom,319058245-9,1991-02-28T05:50:55Z
704,Versatile,Marcelline Jenckes,087417822-3,1983-12-15T14:51:39Z
705,artificial intelligence,Davida Cabrera,744986413-4,1995-06-30T16:25:48Z
706,capability,Myra Gillian,925234871-9,2016-01-31T17:04:35Z
707,Face to face,Kelley Brickwood,484055198-7,1976-01-03T01:20:51Z
708,3rd generation,Mauricio Hadeke,361664520-4,2003-09-12T13:47:13Z
709,adapter,Zita Beynke,107047148-8,1988-06-22T15:28:04Z
710,parallelism,Drew Bunnell,887414523-3,2010-07-05T16:30:29Z
711,value-added,Idelle Kyles,984611478-8,1973-05-14T02:28:37Z
712,Total,Clareta Wyleman,017447514-4,2017-10-05T06:52:16Z
713,Multi-layered,Trudi Clementson,340758076-2,2017-01-16T07:14:32Z
714,throughput,Stacee Maciak,104135344-8,1998-03-07T05:00:42Z
715,framework,Sayre McGiff,322782677-1,2017-05-13T22:15:50Z
716,systematic,Claudell Carcas,441247716-9,1990-02-10T16:27:27Z
717,info-mediaries,Charline Lambkin,306210328-0,1994-04-29T09:37:46Z
718,Re-contextualized,Bryon Lynde,639286152-1,2013-10-24T11:13:05Z
719,product,Austin Golby,301628579-7,1983-08-24T15:56:09Z
720,tertiary,Veda Cousen,777416869-9,1986-10-03T07:20:01Z
721,productivity,Britney Graver,900608783-1,2009-07-05T09:13:04Z
722,zero administration,Peterus Callen,989730951-9,1971-02-03T05:09:45Z
723,synergy,Jude Moreno,374083392-0,2014-09-12T15:23:23Z
724,Diverse,Selinda Guierre,351330608-3,1990-01-01T09:43:15Z
725,adapter,Dimitri Mulroy,999718812-8,2001-12-11T23:29:09Z
726,Upgradable,Arie Garatty,305118660-0,2009-04-29T12:12:57Z
727,grid-enabled,Scott Devaney,050137353-5,1978-10-20T21:50:41Z
728,bandwidth-monitored,Sigrid Davidde,645387656-6,2014-08-09T18:44:45Z
729,exuding,Woodman Stanion,905223766-2,2017-04-17T12:28:14Z
730,incremental,Ailey Bunker,422549958-8,1971-12-06T08:17:44Z
731,product,Sidoney Melbourn,332535399-1,1973-05-16T19:35:23Z
732,Cross-group,Leia Tombleson,541475641-4,2006-02-06T16:04:37Z
733,Team-oriented,Arny Batts,433662038-5,2012-11-12T07:24:37Z
734,Monitored,Jedediah Moynham,587799768-8,2010-01-28T22:41:37Z
735,Reduced,Tracy Villa,837366214-6,1989-09-07T22:41:37Z
736,algorithm,Carolus Dorracott,979567187-1,2019-04-10T16:26:24Z
737,hierarchy,Rani Dumbreck,657039532-7,1983-08-07T10:59:20Z
738,task-force,Mikael Mardee,261439782-2,2000-03-21T20:08:28Z
739,cohesive,Wendi Aizikovitz,998098601-8,1993-08-02T18:14:53Z
740,infrastructure,Carlye Ivashintsov,417710249-0,1983-10-24T08:03:52Z
741,implementation,Cymbre Derill,670301366-7,1981-10-26T16:48:26Z
742,attitude-oriented,Sissie Trass,618182842-7,1991-04-20T01:28:05Z
743,attitude-oriented,Latashia Batchelar,119014865-X,2020-04-29T20:57:37Z
744,Upgradable,Stanley Colcomb,178076318-2,1994-04-19T12:29:40Z
745,attitude-oriented,Christen Cordell,166905451-9,1977-12-15T01:44:42Z
746,composite,Marven Sphinxe,714267630-2,2019-01-08T04:41:14Z
747,Triple-buffered,Laurent Grayson,246864489-1,1978-09-30T11:33:04Z
748,complexity,Dani Reisk,705371098-X,1998-05-17T01:18:08Z
749,Function-based,Phillip Dallmann,502956355-5,1998-12-22T20:50:09Z
750,instruction set,Vale Meenehan,675812599-8,1980-01-04T05:43:49Z
751,well-modulated,Aubrey Garmons,865692703-5,1972-12-28T02:41:27Z
752,Total,Vern Guilloneau,898659644-X,1998-02-17T10:11:12Z
753,open system,Wayne Pollen,585786044-X,2014-11-07T06:49:15Z
754,Diverse,Karalee Redgrove,880355322-3,2006-10-08T22:47:10Z
755,next generation,Rycca Thornally,779349397-4,1985-08-27T00:28:30Z
